# ACTION MATRIX DRAFT (legacy wide sheet — includes fuel)
# Prefer config/ACTION_MATRIX.md and ACTION_MATRIX_REVIEW.csv for current review
# (fuel-add left out of that pass on purpose).
#
plantation,peat,wfe,people,fdist_fuel,pad,fire_dep,ACTION_CLASS,TREATMENT_HINT,notes
Y,*,*,*,*,*,*,,,,ALWAYS value_to_protect_from_fire today — fill or confirm
N,Y,*,*,*,*,*,,,,ALWAYS wetlands_assess_locally today — fill or confirm
N,N,High,High,Low,*,*,,,,
N,N,High,High,Med,*,*,,,,
N,N,High,High,High,*,*,,,,
N,N,High,Med,Low,*,*,,,,
N,N,High,Med,Med,*,*,,,,
N,N,High,Med,High,*,*,,,,
N,N,High,Low,Low,*,*,,,,
N,N,High,Low,Med,*,*,,,,
N,N,High,Low,High,*,*,,,,
N,N,Med,High,Low,*,*,,,,
N,N,Med,High,Med,*,*,,,,
N,N,Med,High,High,*,*,,,,
N,N,Med,Med,Low,*,*,,,,
N,N,Med,Med,Med,*,*,,,,
N,N,Med,Med,High,*,*,,,,
N,N,Med,Low,Low,*,*,,,,
N,N,Med,Low,Med,*,*,,,,
N,N,Med,Low,High,*,*,,,,
N,N,Low,High,Low,*,*,,,,
N,N,Low,High,Med,*,*,,,,
N,N,Low,High,High,*,*,,,,KEY: low WFE + fuel-add + people (MI ice/wind, Arrowhead insects near homes)
N,N,Low,Med,Low,*,*,,,,
N,N,Low,Med,Med,*,*,,,,
N,N,Low,Med,High,*,*,,,,
N,N,Low,Low,Low,*,*,,,,
N,N,Low,Low,Med,*,*,,,,
N,N,Low,Low,High,*,*,,,,KEY: low WFE + fuel-add away from people
