GRID_ID,STATE_ABBR
AF-31,MN
DI-73,WI
EB-83,MI
EP-90,MI
CL-60,MI
BS-80,WI
AX-69,WI
X-62,MN
ED-83,MI
DX-48,MI
BZ-56,MI
FG-69,MI
M-53,MN
I-45,MN
CE-69,WI
U-57,MN
AB-32,MN
CN-81,WI
AY-71,WI
CQ-42,MI
AP-63,WI
EV-77,MI
ES-72,MI
DZ-50,MI
EM-70,MI
DD-91,WI
BS-45,MI
DF-50,MI
BB-38,MN
AH-41,MN
DM-59,MI
Z-35,MN
CD-60,MI
CP-75,WI
BQ-64,WI
DD-68,WI
FC-75,MI
AK-54,MN
BM-74,WI
Y-32,MN
EO-64,MI
EQ-55,MI
BM-36,MN
DT-52,MI
ET-90,MI
CB-83,WI
BJ-37,MN
CK-30,MI
BF-77,WI
CC-86,WI
CZ-64,WI
BV-34,MI
EF-95,MI
AT-47,MN
CT-59,MI
CZ-80,WI
CP-43,MI
BU-58,MI
BA-77,WI
DY-91,MI
AC-70,MN
EG-82,MI
E-24,MN
DY-100,MI
EP-56,MI
FL-71,MI
FC-73,MI
BC-75,WI
BB-49,MN
DA-48,MI
BD-72,WI
AW-46,MN
CS-59,MI
AK-24,MN
FE-56,MI
BG-78,WI
K-40,MN
CZ-58,MI
EA-85,MI
AV-67,WI
AB-68,MN
AX-78,WI
EH-88,MI
CN-50,MI
X-26,MN
AK-64,MN
BB-64,WI
BG-55,MN
ER-80,MI
BW-71,WI
CZ-72,WI
AO-68,WI
CC-68,WI
AV-50,MN
BZ-65,WI
CS-76,WI
U-58,MN
S-58,MN
EO-85,MI
AT-49,MN
CD-73,WI
DK-78,WI
EJ-82,MI
AQ-57,MN
BL-66,WI
FG-82,MI
T-39,MN
BE-52,MN
CN-72,WI
CS-80,WI
CB-72,WI
CI-81,WI
DD-65,WI
EW-64,MI
AB-36,MN
Y-37,MN
AT-29,MN
AG-44,MN
CR-40,MI
EK-79,MI
AJ-37,MN
DS-61,MI
BN-61,WI
BJ-28,MN
DK-52,MI
CT-90,WI
AP-46,MN
Z-63,MN
CL-73,WI
BS-56,MI
DN-74,WI
EH-100,MI
AU-46,MN
DX-52,MI
ED-85,MI
DM-63,WI
AV-70,WI
CW-45,MI
EJ-84,MI
FI-86,MI
K-23,MN
AP-49,MN
DQ-68,MI
CR-81,WI
BT-58,MI
AW-29,MN
BA-42,MN
BF-41,MN
CY-86,WI
EX-83,MI
FD-65,MI
EN-70,MI
EQ-92,MI
CJ-30,MI
EJ-47,MI
DU-49,MI
CJ-79,WI
AF-34,MN
BZ-83,WI
AM-69,MN
BQ-57,WI
BN-66,WI
AM-50,MN
AG-25,MN
BM-51,WI
BO-59,WI
EC-52,MI
AD-62,MN
BC-36,MN
AQ-48,MN
DQ-57,MI
AZ-68,WI
CK-31,MI
AE-36,MN
AX-28,MN
EA-53,MI
CF-78,WI
DK-65,WI
CV-79,WI
CS-82,WI
L-45,MN
CY-57,MI
F-26,MN
BJ-63,WI
CZ-70,WI
P-33,MN
EG-86,MI
FC-64,MI
AM-29,MN
BQ-71,WI
DE-84,WI
BH-58,WI
BG-67,WI
EI-100,MI
DR-60,MI
EI-76,MI
CZ-74,WI
EI-94,MI
DX-54,MI
DZ-48,MI
AH-38,MN
BS-58,MI
BI-68,WI
DL-75,WI
CC-87,WI
BB-61,WI
I-39,MN
AY-55,MN
BX-56,MI
U-40,MN
BI-79,WI
DW-58,MI
FD-82,MI
W-49,MN
CY-52,MI
AC-37,MN
BE-33,MN
CH-48,MI
EJ-52,MI
EI-101,MI
BO-65,WI
EM-75,MI
FA-69,MI
Q-28,MN
AK-39,MN
AV-43,MN
CZ-39,MI
BC-74,WI
EC-90,MI
FF-70,MI
FH-81,MI
BZ-66,WI
BT-64,MI
EJ-91,MI
AY-37,MN
AM-70,MN
CR-48,MI
BB-56,MN
Y-27,MN
BA-59,WI
BK-76,WI
EC-55,MI
AG-46,MN
AM-58,MN
AT-71,WI
ED-103,MI
BK-70,WI
EL-77,MI
EG-55,MI
BM-67,WI
DH-63,WI
CU-79,WI
H-45,MN
W-31,MN
BN-49,WI
AU-31,MN
DD-89,WI
AU-65,WI
DT-62,MI
EU-78,MI
T-60,MN
AY-54,MN
EY-84,MI
T-33,MN
BY-70,WI
BV-55,MI
CM-68,WI
DE-72,WI
K-26,MN
BQ-86,WI
EV-57,MI
BN-32,MN
BL-35,MN
FI-81,MI
BR-87,WI
FI-87,MI
C-25,MN
AF-33,MN
CZ-66,WI
AJ-61,MN
ES-65,MI
BT-80,WI
DN-65,MI
AI-61,MN
ER-97,MI
CK-58,MI
CE-71,WI
DB-83,WI
ET-58,MI
BT-71,WI
CS-40,MI
H-28,MN
AG-29,MN
AU-28,MN
AO-62,WI
Y-29,MN
BZ-90,WI
DG-84,WI
M-47,MN
EU-96,MI
AL-55,MN
AG-58,MN
EN-58,MI
EB-82,MI
AM-40,MN
AC-69,MN
DA-88,WI
FJ-74,MI
CF-74,WI
AK-33,MN
DT-63,MI
CY-83,WI
CA-82,WI
EF-89,MI
EE-82,MI
CR-74,WI
Z-57,MN
DL-56,MI
CT-62,MI
DX-93,MI
AW-63,WI
EG-87,MI
EW-85,MI
BQ-56,WI
AA-47,MN
AR-34,MN
BV-65,WI
FE-72,MI
BE-36,MN
CZ-81,WI
AA-57,MN
BD-45,MN
ES-61,MI
DR-62,MI
AM-54,MN
EL-63,MI
N-30,MN
CF-63,MI
BK-33,MN
BD-41,MN
CU-85,WI
X-25,MN
CP-47,MI
Q-46,MN
EM-72,MI
I-37,MN
AO-65,WI
BA-44,MN
CB-75,WI
BA-69,WI
EC-48,MI
ET-81,MI
AY-29,MN
EI-45,MI
EC-78,MI
BL-60,WI
AD-42,MN
BM-27,MN
EH-98,MI
CP-87,WI
CV-42,MI
ES-94,MI
CG-71,WI
DU-51,MI
EN-57,MI
AR-76,WI
CK-63,MI
BK-60,WI
EQ-71,MI
ED-84,MI
Z-44,MN
AS-30,MN
EZ-79,MI
AX-70,WI
AR-52,MN
X-59,MN
BO-46,MN
EF-57,MI
BS-63,WI
BQ-34,MN
EH-76,MI
EY-88,MI
BL-32,MN
AC-53,MN
AC-62,MN
BV-68,WI
CO-78,WI
DO-64,MI
CN-30,MI
DY-51,MI
T-43,MN
N-22,MN
BM-80,WI
DD-66,WI
CA-69,WI
EO-56,MI
P-38,MN
CN-49,MI
AO-54,MN
BJ-53,WI
P-41,MN
DR-53,MI
